
sdoseminfhb, 0, 20, 2, 3, 3, 0
sdoseminfib, 0, 20, 2, 3, 3, 0
sdoseminfmh, 4, 201, 1, 12, 26, 0
sdosemlogb, 0, 20, 2, 3, 3, 0
sdosemopib, 0, 44, 4, 9, 5, 0
sdosemopih, 0, 35, 3, 0, 6, 0
sdosemop, 3, 153, 1, 1, 28, 0
sdosemopst, 0, 37, 0, 5, 4, 0
sdosemsam, 0, 53, 3, 2, 5, 0
sdosemtrig, 0, 22, 0, 0, 5, 0
sdosemutlb, 0, 20, 2, 3, 3, 0
sdosemvalb, 0, 19, 2, 3, 3, 0
sdostats, 1, 100, 0, 1, 15, 0
sdotopob, 1, 70, 4, 3, 10, 0
sdoutlb, 2, 72, 3, 3, 9, 0
sdoutl, 1, 33, 2, 1, 8, 1
sdowcspr, 2, 34, 3, 5, 5, 0
sdowfslk, 2, 42, 5, 3, 9, 0
sdowfspr, 1, 34, 4, 3, 6, 0
sdowspr, 1, 17, 1, 1, 4, 0
