Unnamed: 0,grants,size,packages,alters,commands,commits,time,md
1364,0,12,1,1,3,0,0.413,0
1365,0,16,1,1,3,0,0.376,0
1366,0,17,1,1,3,0,0.369,0
1367,1,13,1,1,3,0,0.402,0
1368,0,16,1,1,3,0,0.358,0
1369,0,16,0,0,3,0,0.355,0
1370,0,40,0,0,6,0,0.354,0
1371,0,77,5,5,10,0,0.369,0
1372,0,39,1,1,7,0,0.375,0
1373,0,12,1,1,3,0,0.382,0
1374,0,17,1,1,3,0,0.352,0
1375,0,46,4,6,6,0,0.441,0
1376,0,27,2,1,5,0,1.204,0
1377,3,52,3,3,12,0,1.128,0
1378,0,30,3,2,7,0,0.419,0
1379,2,1003,18,12,12,0,1.152,0
1380,0,16,1,1,3,0,0.37,0
1381,1,20,2,1,5,0,0.41,0
1382,0,20,2,3,3,0,0.418,0
1383,0,32,4,6,4,0,0.445,0
1384,1,29,1,1,5,0,0.373,0
1385,0,25,2,2,3,0,0.774,0
1386,0,17,1,1,3,0,0.352,0
1387,0,51,3,2,8,0,0.744,0
1388,0,64,0,0,13,0,0.433,0
1389,0,79,0,0,15,0,0.819,0
1390,0,91,10,12,12,0,0.9,0
1391,0,47,3,2,7,0,0.388,0
1392,0,16,1,1,3,0,0.355,0
1393,5,171,10,10,24,0,0.656,0
1394,11,2984,66,58,67,4,3.045,0
1395,0,25,2,2,4,0,0.355,0
1396,0,17,1,1,3,0,0.365,0
1397,0,25,2,2,4,0,0.363,0
1398,0,17,1,1,3,0,0.357,0
1399,0,81,9,0,11,0,0.37,0
1400,0,61,6,4,10,0,0.607,0
1401,0,13,1,1,3,0,0.483,0
1402,0,12,1,1,3,0,0.685,0
1403,0,12,1,0,3,0,0.817,0
1404,0,23,3,3,5,0,1.657,0
1405,0,16,1,1,3,0,0.368,0
1406,0,13,1,1,3,0,0.409,0
1407,0,12,1,1,3,0,0.403,0
1408,0,12,1,1,3,0,0.444,0
1409,0,16,1,1,3,0,0.379,0
1410,0,37,8,5,6,0,0.983,0
1411,0,24,1,1,4,0,0.354,0
1412,1,65,2,2,9,0,0.612,0
1413,0,37,2,2,3,0,0.918,0
1414,0,9,1,1,0,0,0.381,0
1415,0,8,1,1,2,0,0.355,0
1416,0,33,2,5,4,0,0.433,0
1417,0,20,2,3,3,0,0.366,0
1418,0,13,1,0,3,0,0.386,0
1419,0,20,2,3,3,0,0.361,0
1420,1,78,6,6,11,0,0.404,0
1421,0,16,1,1,3,0,0.352,0
1422,2,34,1,1,7,0,0.471,0
1423,3,51,3,3,12,0,0.7,0
1424,0,16,1,1,3,0,0.349,0
1425,0,17,1,1,3,0,0.35,0
1426,0,35,2,2,5,0,0.355,0
1427,0,16,1,1,3,0,0.361,0
1428,0,70,4,6,9,0,1.0,0
1429,0,8,0,0,2,0,0.342,0
1430,0,17,1,1,3,0,0.35,0
1431,0,17,1,1,3,0,0.345,0
1432,0,25,1,1,4,0,0.351,0
1433,0,78,7,0,10,0,0.366,0
1434,0,24,1,1,4,0,0.352,0
1435,0,44,4,4,6,0,0.357,0
1436,4,357,31,32,51,2,1.817,0
1437,3,86,7,0,14,0,0.46,0
1438,0,16,1,1,3,0,0.374,0
1439,0,31,3,1,5,0,0.387,0
1440,0,23,2,2,4,0,0.355,0
1441,0,68,2,15,7,0,0.476,0
1442,2,104,13,15,12,0,0.427,0
